cell,dates,nums_cr,pages_table_start,line_order,title
"voir pour cristallisation des carneaux de ventilation et nécessité des cuvettes
d’ascenseurs",['20-03-2013'],"[2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[15, 26, 32, 38, 46, 53, 60, 67, 74, 81, 88, 95, 102, 110]",18,BERIM
"voir problème de fermeture coupe feu de part et d’autre de l’escalier au droit du
TGBT",['30-04-2013'],"[8, 9, 10, 11, 12]","[53, 60, 67, 74, 81]",22,BERIM
"voir remarques DEKRA sur les évacuations des EP de toiture. Notamment sur la
zone Z22 représentant 1270m2 et évacuée par 5 trop pleins",['18-09-2013'],"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[162, 169, 177, 184, 192, 199, 207, 214, 222, 230, 238]",19,BERIM
"vérifier attendus du permis de construire sur les demandes du SDIS. 07/05/13 : défense incendie
(à charge MOA)",['24-03-2014'],"[9, 10, 11, 12]","[60, 67, 74, 81]",19,BERIM
"vérifier et confirmer la limite de prestation entre SNEF et MONTARON pour la pose
du transfo électrique",['29-07-2015'],"[82, 83]","[718, 728]",18,BERIM
"vérifier la problématique soulevé par SOGEA de sas sur palier intermédiaire de
l’escalier hélicoïdal",['20-03-2013'],"[2, 4]","[15, 26]",16,BERIM
CAMVS demande une proposition d’organigramme,['04-11-2015'],"[98, 99]","[843, 852]",16,BERIM
RDV choix luminaires le 24/06/14 à 10h00 chez BERIM,['11-06-2014'],"[58, 59]","[476, 485]",22,BERIM
RDV fixé le 25/09/13 à 10h00 chez DEKRA pour relecture RICT,['11-09-2013'],"[22, 23, 24]","[155, 162, 169]",18,BERIM
"SNEF signale que les réservations demandées n’ont pas été prises en compte en
RDC et R+1
ASSISTANT MAITRISE D’OUVRAGE",['27-11-2013'],[33],[237],24,BERIM
"SNEF signale que les réservations demandées n’ont pas été prises en compte en RDC et R+1.
04/12/13 : pris en compte sur plans remis ce jour
ASSISTANT MAITRISE D’OUVRAGE",['27-11-2013'],"[34, 35]","[245, 253]",18,BERIM
URGENT faire VISA sur plans EXE SOGEA,['19-06-2013'],"[15, 16, 17, 18, 19]","[102, 110, 118, 126, 133]",17,BERIM
URGENT finaliser le projet vidéosurveillance,['22-07-2015'],"[81, 82, 83, 84, 85, 86, 87, 88, 90, 91, 92]","[708, 718, 728, 738, 748, 758, 768, 778, 798, 809, 825]",17,BERIM
URGENT finaliser le projet vidéosurveillance. 04/11/15 : RAPPEL,['22-07-2015'],"[98, 99]","[843, 852]",9,BERIM
"Z1 à Z8 par SOGEA. Idem pour la Z11, Z12, Z15 à Z21 à charge SOGEA. Les Z9 et Z23 sont à
charge COEXIA
Contrôle réservations en RDC du 22/01/14
- valider VH local TGBT dans la porte du local
- manque toutes les réservations pour siphons de sol et caniveaux de la zone vestiaires sanitaires plongée (plan
non fourni)
Contrôle réservations en R+1 du 19/02/14
- 2 réservations 300x300 à déplacer en hauteur sur coursive bassin ludique (soufflage canons de lumière)
- vérifier alignement réservations au niveau terrasse technique zone plongée",['17-04-2013'],"[54, 55]","[440, 449]",15,BERIM
"Z1 à Z8 par SOGEA. Idem pour la Z11, Z12, Z15 à Z21 à charge SOGEA. Les Z9 et Z23 sont à
charge COEXIA
Contrôle réservations en RDC du 22/01/14
- valider VH local TGBT dans la porte du local
- manque toutes les réservations pour siphons de sol et caniveaux de la zone vestiaires sanitaires plongée (plan
non fourni)
Contrôle réservations en R+1 du 19/02/14
- 2 réservations 300x300 à déplacer en hauteur sur coursive bassin ludique (soufflage canons de lumière)
- vérifier alignement réservations au niveau terrasse technique zone plongée
Réception support par CRI du 12/03/14
- fosse de plongée, reprendre désaffleur entre les deux levées de coulage des bajoyers. Reste à vérifier la dimen-
sion en plan (∅ constant à vérifier sur la hauteur)
ASSISTANT MAITRISE D’OUVRAGE",['17-04-2013'],[56],[458],18,BERIM
"Z1 à Z8 par SOGEA. Idem pour la Z11, Z12, Z15 à Z21 à charge SOGEA. Les Z9 et Z23 sont à
charge COEXIA
Contrôle réservations en sous sol du 18/12/13
- Locaux TE / TA :
. vérifier si robinet de puisage dans socle casiers piscine
Contrôle réservations en RDC du 22/01/14
- valider VH local TGBT dans la porte du local
- manque toutes les réservations pour siphons de sol et caniveaux de la zone vestiaires sanitaires plongée (plan
non fourni)
Contrôle réservations en R+1 du 19/02/14
- 2 réservations 300x300 à déplacer en hauteur sur coursive bassin ludique (soufflage canons de lumière)
- vérifier alignement réservations au niveau terrasse technique zone plongée",['17-04-2013'],"[52, 53]","[422, 431]",18,BERIM
"Z11, regard en pied de chute à confirmer",['17-04-2013'],"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 49, 51, 52, 53, 54, 55, 56]","[154, 161, 168, 176, 183, 191, 198, 206, 213, 221, 229, 237, 245, 253, 261, 269, 278, 287, 296, 305, 314, 323, 332, 341, 350, 359, 368, 377, 388, 406, 422, 431, 440, 449, 458]",10,BERIM
choix des teintes de la toile tendue 6 mois au plus tard avant la pose,['11-09-2013'],"[22, 23, 24, 25, 26, 29]","[158, 165, 172, 180, 187, 209]",5,BERIM
"choix des teintes de la toile tendue 6 mois au plus tard avant la pose. 06/11/13 : choix pour 01/12/13
Matériaux de remblais du site",['11-09-2013'],[33],[241],5,BERIM
confirmer choix carrelages sanitaires homme remise en forme,['15-04-2015'],[68],[562],18,BERIM
confirmer classe du bois pour bardage clin extérieur,['11-06-2014'],"[58, 59, 60, 62, 63, 64]","[476, 485, 494, 512, 519, 527]",22,BERIM
confirmer la nécessité des panneaux perforés en zone plongée (CTBX 22mm),['08-07-2015'],"[81, 82, 83, 84, 85, 86, 87, 88, 90, 91, 92, 98, 99]","[708, 718, 728, 738, 748, 758, 768, 778, 798, 809, 825, 843, 852]",14,BERIM
"confirmer le RAL des menuiseries alu
Matériaux de remblais du site",['11-09-2013'],"[22, 23, 24, 25, 26]","[158, 165, 172, 180, 187]",7,BERIM
"confirmer le type de finition souhaitée sur les maçonnerie : enduite ou joints tirés au
fer",['06-11-2013'],[30],[214],20,BERIM
confirmer les hauteurs sous faux plafonds,['01-04-2015'],"[66, 67, 68]","[544, 553, 562]",17,BERIM
confirmer les plafonds CF à prévoir,['22-04-2015'],"[69, 71, 72, 73, 74]","[571, 598, 610, 625, 637]",15,BERIM
"confirmer les plafonds CF à prévoir
-29/04/15 : SOGEA souhaite connaître savoir à quel moment est prévue la pose des douces
courbes, avant ou après la réalisation de la chape. En zone bains chaud, faire une synthèse avec",['22-04-2015'],[70],[583],17,BERIM
confirmer les teintes des DEP,['11-03-2015'],[63],[519],17,BERIM
confirmer l’option triple vitrage également sur les verrières,['06-03-2013'],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[10, 15, 20, 26, 32, 38, 46, 53, 60, 67, 74, 81, 88, 95, 102, 110, 118, 126, 133, 141, 148, 155, 162, 169]",8,BERIM
"confirmer teint des poteaux bois intérieurs + clin dans murs rideaux
Matériaux de remblais du site",['30-10-2013'],[29],[209],6,BERIM
confirmer à CRI les hauteurs de coffres GEBERIT pour définition arrêt des faïences,['30-09-2015'],[88],[778],18,BERIM
confirmer à MQB le % de vide dans barrage bois sur coursive,['05-03-2014'],"[44, 45, 46]","[333, 342, 351]",19,BERIM
contacter EAU et FORCE pour confirmer que le compteur d’eau est de type à impulsion,['23-04-2014'],"[54, 55, 56, 57, 58]","[440, 449, 458, 467, 476]",9,BERIM
"contacter EAU et FORCE pour confirmer que le compteur d’eau est de type à impulsion. 18/06/14 :
transmettre besoin en eau à EAU et FORCE",['23-04-2014'],"[59, 60, 61, 62, 63, 64, 65, 66]","[485, 494, 503, 511, 519, 527, 535, 544]",9,BERIM
demander les fluides pour fin novembre pour débuter les essais,['30-09-2015'],[88],[778],17,BERIM
diffuser CR réunion avec ARS,['07-05-2014'],"[53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 81, 82, 83, 84, 85, 86, 87, 88, 90, 91, 92, 98]","[431, 440, 449, 458, 467, 476, 485, 494, 503, 511, 519, 527, 535, 544, 553, 562, 571, 583, 598, 610, 625, 637, 652, 662, 671, 680, 689, 708, 718, 728, 738, 748, 758, 768, 778, 798, 809, 825, 843]",11,BERIM
diffuser plan RDC à MONTARON,['11-06-2014'],[58],[476],18,BERIM
